site_id,site_name,country,city,pi_name,status,site_type
SP-001,Massachusetts General Hospital,US,Boston,Dr. Sarah Chen,Active,Academic
SP-002,Mayo Clinic Rochester,US,Rochester,Dr. James Miller,Active,Academic
SP-003,Cleveland Clinic,US,Cleveland,Dr. Emily Rodriguez,Active,Academic
SP-004,Johns Hopkins Hospital,US,Baltimore,Dr. David Kim,Active,Academic
SP-005,Stanford Medical Center,US,Palo Alto,Dr. Lisa Thompson,Active,Academic
SP-006,UCLA Medical Center,US,Los Angeles,Dr. Robert Patel,Pending,Academic
SP-007,University of Chicago Medicine,US,Chicago,Dr. Karen White,Active,Academic
SP-008,NYU Langone Health,US,New York,Dr. Michael Brown,Active,Academic
SP-009,Charité – Universitätsmedizin Berlin,DE,Berlin,Dr. Hans Müller,Active,Academic
SP-010,LMU Klinikum München,DE,Munich,Dr. Anna Schmidt,Active,Academic
SP-011,Universitätsklinikum Hamburg-Eppendorf,DE,Hamburg,Dr. Klaus Fischer,Pending,Academic
SP-012,Hôpital Pitié-Salpêtrière,FR,Paris,Dr. Marie Dupont,Active,Academic
SP-013,CHU de Bordeaux,FR,Bordeaux,Dr. Pierre Martin,Active,Community
SP-014,Hôpitaux Universitaires de Genève,CH,Geneva,Dr. Jean-Luc Bernard,Active,Academic
SP-015,Oxford University Hospitals NHS Trust,GB,Oxford,Dr. Helen Clarke,Active,Academic
SP-016,University College London Hospitals,GB,London,Dr. Andrew Taylor,Active,Academic
SP-017,Edinburgh Royal Infirmary,GB,Edinburgh,Dr. Fiona MacLeod,Pending,Academic
SP-018,Karolinska University Hospital,SE,Stockholm,Dr. Erik Lindqvist,Active,Academic
SP-019,Rigshospitalet,DK,Copenhagen,Dr. Mette Hansen,Active,Academic
SP-020,Amsterdam UMC,NL,Amsterdam,Dr. Jan de Vries,Active,Academic
SP-021,Radboud University Medical Center,NL,Nijmegen,Dr. Sophie Bakker,Active,Community
SP-022,Universitair Ziekenhuis Leuven,BE,Leuven,Dr. Marc Janssen,Active,Academic
SP-023,Hospital Clinic de Barcelona,ES,Barcelona,Dr. Carlos García,Active,Academic
SP-024,Hospital La Paz Madrid,ES,Madrid,Dr. Isabel López,Active,Academic
SP-025,Azienda Ospedaliero-Universitaria di Bologna,IT,Bologna,Dr. Marco Rossi,Active,Academic
SP-026,Policlinico Gemelli Roma,IT,Rome,Dr. Lucia Ferretti,Pending,Academic
SP-027,Toronto General Hospital,CA,Toronto,Dr. Jennifer Wong,Active,Academic
SP-028,Vancouver General Hospital,CA,Vancouver,Dr. Brian Nguyen,Active,Academic
SP-029,McGill University Health Centre,CA,Montreal,Dr. Sophie Tremblay,Active,Academic
SP-030,Princess Margaret Cancer Centre,CA,Toronto,Dr. Andrew Lee,Active,Academic
SP-031,Duke University Medical Center,US,Durham,Dr. Patricia Evans,Active,Academic
SP-032,University of Michigan Health System,US,Ann Arbor,Dr. Steven Park,Active,Academic
SP-033,University of Washington Medical Center,US,Seattle,Dr. Rachel Green,Active,Academic
SP-034,Vanderbilt University Medical Center,US,Nashville,Dr. Thomas Hill,Active,Academic
SP-035,Emory University Hospital,US,Atlanta,Dr. Angela Davis,Active,Academic
SP-036,University of Pittsburgh Medical Center,US,Pittsburgh,Dr. Frank Wilson,Active,Academic
SP-037,Yale New Haven Hospital,US,New Haven,Dr. Olivia Johnson,Active,Academic
SP-038,UCSF Medical Center,US,San Francisco,Dr. Kevin Martinez,Active,Academic
SP-039,University of Colorado Hospital,US,Aurora,Dr. Stephanie Adams,Active,Academic
SP-040,Brigham and Women's Hospital,US,Boston,Dr. Daniel Clark,Active,Academic
SP-041,Memorial Sloan Kettering Cancer Center,US,New York,Dr. Nancy Lewis,Active,Academic
SP-042,MD Anderson Cancer Center,US,Houston,Dr. Charles Robinson,Active,Academic
SP-043,Mayo Clinic Arizona,US,Scottsdale,Dr. Sandra Walker,Active,Academic
SP-044,Mayo Clinic Florida,US,Jacksonville,Dr. Gary Hall,Active,Academic
SP-045,Northwestern Memorial Hospital,US,Chicago,Dr. Laura Allen,Active,Academic
SP-046,University of Minnesota Medical Center,US,Minneapolis,Dr. Jason Young,Active,Academic
SP-047,Ohio State Wexner Medical Center,US,Columbus,Dr. Amy Hernandez,Active,Academic
SP-048,Indiana University Health,US,Indianapolis,Dr. Matthew King,Active,Academic
SP-049,University of Iowa Hospitals,US,Iowa City,Dr. Christine Wright,Active,Community
SP-050,University of Texas Southwestern,US,Dallas,Dr. Eric Scott,Active,Academic
SP-051,University of North Carolina Health,US,Chapel Hill,Dr. Melissa Torres,Active,Academic
SP-052,Wake Forest Baptist Medical Center,US,Winston-Salem,Dr. Roger Nguyen,Active,Academic
SP-053,University of Virginia Health System,US,Charlottesville,Dr. Heather Campbell,Pending,Academic
SP-054,Georgetown University Hospital,US,Washington DC,Dr. Bruce Morris,Active,Academic
SP-055,University of Maryland Medical Center,US,Baltimore,Dr. Donna Rogers,Active,Academic
SP-056,Penn Medicine,US,Philadelphia,Dr. Scott Reed,Active,Academic
SP-057,Thomas Jefferson University Hospital,US,Philadelphia,Dr. Pamela Cook,Active,Community
SP-058,Rush University Medical Center,US,Chicago,Dr. Timothy Bailey,Active,Academic
SP-059,Henry Ford Health System,US,Detroit,Dr. Dorothy Bell,Active,Community
SP-060,Cedars-Sinai Medical Center,US,Los Angeles,Dr. Joseph Murphy,Active,Academic
SP-061,University of California San Diego,US,San Diego,Dr. Sharon Howard,Active,Academic
SP-062,University of Alabama Birmingham,US,Birmingham,Dr. Carl Ward,Active,Academic
SP-063,University of Miami Health System,US,Miami,Dr. Judith Cox,Active,Academic
SP-064,Ochsner Health System,US,New Orleans,Dr. Harold Richardson,Active,Community
SP-065,University of Kentucky HealthCare,US,Lexington,Dr. Joan Watson,Active,Academic
SP-066,St. Jude Children's Research Hospital,US,Memphis,Dr. Peter Brooks,Active,Academic
SP-067,Children's Hospital of Philadelphia,US,Philadelphia,Dr. Barbara Sanders,Active,Academic
SP-068,Boston Children's Hospital,US,Boston,Dr. Richard Price,Active,Academic
SP-069,Houston Methodist Hospital,US,Houston,Dr. Mary Bennett,Active,Community
SP-070,Scripps Clinic,US,La Jolla,Dr. George Wood,Active,Community
SP-071,Intermountain Medical Center,US,Murray,Dr. Ruth James,Active,Community
SP-072,Oregon Health & Science University,US,Portland,Dr. Harry Hughes,Active,Academic
SP-073,University of New Mexico Hospital,US,Albuquerque,Dr. Jean Long,Active,Academic
SP-074,University of Kansas Medical Center,US,Kansas City,Dr. Albert Patterson,Active,Academic
SP-075,LSU Health Shreveport,US,Shreveport,Dr. Gloria Russell,Active,Academic
SP-076,Medical College of Wisconsin,US,Milwaukee,Dr. Philip Jenkins,Active,Academic
SP-077,Penn State Health Milton S. Hershey,US,Hershey,Dr. Shirley Perry,Active,Academic
SP-078,Montefiore Medical Center,US,New York,Dr. Arthur Butler,Active,Academic
SP-079,Stony Brook University Hospital,US,Stony Brook,Dr. Beverly Simmons,Active,Academic
SP-080,University of Rochester Medical Center,US,Rochester,Dr. Vincent Foster,Active,Academic
SP-081,Universitätsklinikum Frankfurt,DE,Frankfurt,Dr. Petra Bauer,Active,Academic
SP-082,Universitätsklinikum Freiburg,DE,Freiburg,Dr. Wolfgang Braun,Active,Academic
SP-083,Medizinische Hochschule Hannover,DE,Hannover,Dr. Ingrid Koch,Active,Academic
SP-084,Universitätsklinikum Düsseldorf,DE,Düsseldorf,Dr. Gerhard Wolf,Active,Academic
SP-085,Universitätsklinikum Köln,DE,Cologne,Dr. Helga Richter,Active,Academic
SP-086,Universitätsklinikum Bonn,DE,Bonn,Dr. Stefan Klein,Pending,Academic
SP-087,Universitätsklinikum Leipzig,DE,Leipzig,Dr. Monika Schulz,Active,Academic
SP-088,Universitätsklinikum Dresden,DE,Dresden,Dr. Jürgen Zimmermann,Active,Academic
SP-089,Universitätsklinikum Münster,DE,Münster,Dr. Sabine Hoffmann,Active,Academic
SP-090,Universitätsklinikum Erlangen,DE,Erlangen,Dr. Rainer Weiss,Active,Academic
SP-091,Universitätsklinikum Heidelberg,DE,Heidelberg,Dr. Christine Schwarz,Active,Academic
SP-092,Universitätsklinikum Tübingen,DE,Tübingen,Dr. Dieter Lange,Active,Academic
SP-093,Universitätsklinikum Mainz,DE,Mainz,Dr. Ursula Krause,Active,Academic
SP-094,Klinikum Rechts der Isar München,DE,Munich,Dr. Fritz Becker,Active,Community
SP-095,Städtisches Klinikum München,DE,Munich,Dr. Renate Schubert,Active,Community
SP-096,CHU de Lyon,FR,Lyon,Dr. François Moreau,Active,Academic
SP-097,CHU de Marseille,FR,Marseille,Dr. Claire Lefevre,Active,Academic
SP-098,CHU de Toulouse,FR,Toulouse,Dr. Alain Girard,Active,Academic
SP-099,CHU de Lille,FR,Lille,Dr. Nathalie Petit,Active,Academic
SP-100,CHU de Nantes,FR,Nantes,Dr. Laurent Simon,Active,Academic
SP-101,CHU de Montpellier,FR,Montpellier,Dr. Isabelle Roux,Active,Academic
SP-102,CHU de Strasbourg,FR,Strasbourg,Dr. Philippe Michel,Pending,Academic
SP-103,CHU de Rennes,FR,Rennes,Dr. Anne Blanc,Active,Academic
SP-104,Institut Gustave Roussy,FR,Villejuif,Dr. Bernard Fontaine,Active,Academic
SP-105,Centre Léon Bérard,FR,Lyon,Dr. Sylvie Garnier,Active,Academic
SP-106,Manchester University NHS Foundation Trust,GB,Manchester,Dr. John Davies,Active,Academic
SP-107,Leeds Teaching Hospitals NHS Trust,GB,Leeds,Dr. Susan Evans,Active,Academic
SP-108,King's College Hospital NHS Foundation Trust,GB,London,Dr. Peter Harris,Active,Academic
SP-109,Imperial College Healthcare NHS Trust,GB,London,Dr. Catherine Williams,Active,Academic
SP-110,Barts Health NHS Trust,GB,London,Dr. Simon Jones,Active,Community
SP-111,Birmingham University Hospitals NHS Trust,GB,Birmingham,Dr. Jane Smith,Active,Academic
SP-112,Bristol University Hospitals NHS Trust,GB,Bristol,Dr. David Brown,Active,Academic
SP-113,Cambridge University Hospitals NHS Trust,GB,Cambridge,Dr. Emma Wilson,Active,Academic
SP-114,Newcastle Upon Tyne Hospitals NHS Trust,GB,Newcastle,Dr. Michael Taylor,Active,Academic
SP-115,Sheffield Teaching Hospitals NHS Trust,GB,Sheffield,Dr. Sarah Anderson,Active,Academic
SP-116,Nottingham University Hospitals NHS Trust,GB,Nottingham,Dr. Robert Thomas,Active,Community
SP-117,Cardiff and Vale University Health Board,GB,Cardiff,Dr. Helen Roberts,Active,Academic
SP-118,Belfast Health and Social Care Trust,GB,Belfast,Dr. James Jackson,Pending,Academic
SP-119,Hospital Universitario Valle Hebron,ES,Barcelona,Dr. Juan Fernández,Active,Academic
SP-120,Hospital Universitario 12 de Octubre,ES,Madrid,Dr. Ana Martínez,Active,Academic
SP-121,Hospital General Universitario Gregorio Marañón,ES,Madrid,Dr. Pedro Sánchez,Active,Academic
SP-122,Hospital Universitario Virgen del Rocío,ES,Seville,Dr. Carmen González,Active,Academic
SP-123,Hospital Universitario Central de Asturias,ES,Oviedo,Dr. Luis Rodríguez,Active,Academic
SP-124,Hospital Universitario de Salamanca,ES,Salamanca,Dr. Elena Díaz,Pending,Academic
SP-125,Complejo Hospitalario Universitario de Santiago,ES,Santiago de Compostela,Dr. Miguel Álvarez,Active,Academic
SP-126,Istituto Nazionale Tumori Milano,IT,Milan,Dr. Giuseppe Bianchi,Active,Academic
SP-127,Ospedale San Raffaele,IT,Milan,Dr. Francesca Marino,Active,Academic
SP-128,Azienda Ospedaliero-Universitaria Pisana,IT,Pisa,Dr. Antonio Greco,Active,Academic
SP-129,Policlinico Umberto I Roma,IT,Rome,Dr. Valentina De Luca,Active,Academic
SP-130,Istituto Europeo di Oncologia,IT,Milan,Dr. Roberto Esposito,Active,Academic
SP-131,AOU Federico II Napoli,IT,Naples,Dr. Carmela Russo,Pending,Academic
SP-132,Azienda Ospedaliero-Universitaria di Padova,IT,Padua,Dr. Leonardo Ferrari,Active,Academic
SP-133,AOU Careggi Firenze,IT,Florence,Dr. Silvia Ricci,Active,Academic
SP-134,Erasmus MC,NL,Rotterdam,Dr. Pieter van den Berg,Active,Academic
SP-135,Leiden University Medical Center,NL,Leiden,Dr. Annelies Smit,Active,Academic
SP-136,UMC Utrecht,NL,Utrecht,Dr. Kees Visser,Active,Academic
SP-137,Maastricht UMC+,NL,Maastricht,Dr. Lotte Mulder,Active,Academic
SP-138,Universitair Medisch Centrum Groningen,NL,Groningen,Dr. Bart Dijkstra,Active,Academic
SP-139,Inselspital Bern,CH,Bern,Dr. Ursula Meier,Active,Academic
SP-140,Universitätsspital Basel,CH,Basel,Dr. Thomas Keller,Active,Academic
SP-141,Universitätsspital Zürich,CH,Zurich,Dr. Claudia Müller,Active,Academic
SP-142,Centre Hospitalier Universitaire Vaudois,CH,Lausanne,Dr. Patrick Favre,Active,Academic
SP-143,Istituto Oncologico della Svizzera Italiana,CH,Bellinzona,Dr. Luca Romano,Pending,Academic
SP-144,Sahlgrenska University Hospital,SE,Gothenburg,Dr. Lars Johansson,Active,Academic
SP-145,Skåne University Hospital,SE,Malmö,Dr. Karin Nilsson,Active,Academic
SP-146,Akademiska sjukhuset,SE,Uppsala,Dr. Mikael Pettersson,Active,Academic
SP-147,Oslo University Hospital,NO,Oslo,Dr. Ane Larsen,Active,Academic
SP-148,Haukeland University Hospital,NO,Bergen,Dr. Tor Andersen,Active,Academic
SP-149,Helsinki University Hospital,FI,Helsinki,Dr. Aino Mäkinen,Active,Academic
SP-150,Tampere University Hospital,FI,Tampere,Dr. Pekka Virtanen,Active,Academic
SP-151,Aarhus University Hospital,DK,Aarhus,Dr. Lars Christensen,Active,Academic
