site_id,site_name,country,city,pi_name,status,site_type
SP-152,Odense University Hospital,DK,Odense,Dr. Hanne Nielsen,Active,Academic
SP-153,Landspitali University Hospital,IS,Reykjavik,Dr. Sigrid Björnsson,Pending,Academic
SP-154,Medizinische Universität Wien,AT,Vienna,Dr. Karl Gruber,Active,Academic
SP-155,Medizinische Universität Graz,AT,Graz,Dr. Elisabeth Huber,Active,Academic
SP-156,Medizinische Universität Innsbruck,AT,Innsbruck,Dr. Markus Steiner,Active,Academic
SP-157,Samodzielny Publiczny Szpital Kliniczny Warszawa,PL,Warsaw,Dr. Marek Kowalski,Active,Academic
SP-158,Szpital Uniwersytecki w Krakowie,PL,Krakow,Dr. Anna Nowak,Active,Academic
SP-159,Gdański Uniwersytet Medyczny,PL,Gdansk,Dr. Tomasz Wiśniewski,Active,Academic
SP-160,Szpital Kliniczny UM w Poznaniu,PL,Poznan,Dr. Katarzyna Woźniak,Pending,Academic
SP-161,Centrum Onkologii Warszawa,PL,Warsaw,Dr. Piotr Zając,Active,Academic
SP-162,Śląski Uniwersytet Medyczny Katowice,PL,Katowice,Dr. Monika Krawczyk,Active,Community
SP-163,University of Tokyo Hospital,JP,Tokyo,Dr. Hiroshi Tanaka,Active,Academic
SP-164,Osaka University Hospital,JP,Osaka,Dr. Yoko Yamamoto,Active,Academic
SP-165,Kyoto University Hospital,JP,Kyoto,Dr. Kenji Watanabe,Active,Academic
SP-166,Nagoya University Hospital,JP,Nagoya,Dr. Michiko Ito,Active,Academic
SP-167,Tohoku University Hospital,JP,Sendai,Dr. Takashi Sato,Active,Academic
SP-168,National Cancer Center Hospital,JP,Tokyo,Dr. Akiko Suzuki,Active,Academic
SP-169,Kyushu University Hospital,JP,Fukuoka,Dr. Masaki Kobayashi,Active,Academic
SP-170,Hokkaido University Hospital,JP,Sapporo,Dr. Naomi Kato,Active,Academic
SP-171,Keio University Hospital,JP,Tokyo,Dr. Ryoji Hayashi,Active,Academic
SP-172,National Hospital Organization Tokyo Medical Center,JP,Tokyo,Dr. Sachiko Ikeda,Pending,Community
SP-173,Juntendo University Hospital,JP,Tokyo,Dr. Fumio Yamada,Active,Academic
SP-174,Showa University Hospital,JP,Tokyo,Dr. Haruko Nakamura,Active,Community
SP-175,Kobe University Hospital,JP,Kobe,Dr. Kazuya Hashimoto,Active,Academic
SP-176,Seoul National University Hospital,KR,Seoul,Dr. Ji-Young Park,Active,Academic
SP-177,Yonsei Severance Hospital,KR,Seoul,Dr. Min-Su Kim,Active,Academic
SP-178,Samsung Medical Center,KR,Seoul,Dr. Hyun-Jin Lee,Active,Academic
SP-179,Asan Medical Center,KR,Seoul,Dr. So-Young Choi,Active,Academic
SP-180,Kyungpook National University Hospital,KR,Daegu,Dr. Jae-Won Jung,Active,Academic
SP-181,Pusan National University Hospital,KR,Busan,Dr. Eun-Ji Han,Pending,Academic
SP-182,Chonnam National University Hwasun Hospital,KR,Hwasun,Dr. Young-Sik Kwon,Active,Academic
SP-183,National Cancer Center Korea,KR,Goyang,Dr. Hyeon-Ji Shin,Active,Academic
SP-184,Royal Melbourne Hospital,AU,Melbourne,Dr. Claire Thompson,Active,Academic
SP-185,Peter MacCallum Cancer Centre,AU,Melbourne,Dr. Andrew Hamilton,Active,Academic
SP-186,Royal Prince Alfred Hospital,AU,Sydney,Dr. Catherine Morrison,Active,Academic
SP-187,Prince of Wales Hospital,AU,Sydney,Dr. John Crawford,Active,Academic
SP-188,Princess Alexandra Hospital,AU,Brisbane,Dr. Susan Fletcher,Active,Academic
SP-189,Sir Charles Gairdner Hospital,AU,Perth,Dr. David Mackay,Active,Academic
SP-190,Royal Adelaide Hospital,AU,Adelaide,Dr. Karen Lawrence,Active,Academic
SP-191,The Alfred Hospital,AU,Melbourne,Dr. Stephen Grant,Active,Community
SP-192,Austin Health,AU,Heidelberg,Dr. Helen Chambers,Pending,Academic
SP-193,Sheba Medical Center,IL,Ramat Gan,Dr. Yael Cohen,Active,Academic
SP-194,Hadassah Medical Center,IL,Jerusalem,Dr. Daniel Levy,Active,Academic
SP-195,Rambam Health Care Campus,IL,Haifa,Dr. Miriam Goldberg,Active,Academic
SP-196,Tel Aviv Sourasky Medical Center,IL,Tel Aviv,Dr. Avi Shapiro,Active,Academic
SP-197,Rabin Medical Center,IL,Petah Tikva,Dr. Nurit Katz,Active,Community
SP-198,Peking Union Medical College Hospital,CN,Beijing,Dr. Wei Zhang,Active,Academic
SP-199,Zhongshan Hospital Fudan University,CN,Shanghai,Dr. Fang Li,Active,Academic
SP-200,Sun Yat-sen University Cancer Center,CN,Guangzhou,Dr. Ming Wang,Active,Academic
SP-201,West China Hospital,CN,Chengdu,Dr. Jing Chen,Active,Academic
SP-202,Tongji Hospital Wuhan,CN,Wuhan,Dr. Lei Liu,Active,Academic
SP-203,Renji Hospital Shanghai,CN,Shanghai,Dr. Yan Zhao,Active,Academic
SP-204,Cancer Hospital Chinese Academy of Medical Sciences,CN,Beijing,Dr. Hui Yang,Active,Academic
SP-205,Nanjing Drum Tower Hospital,CN,Nanjing,Dr. Xia Huang,Pending,Academic
SP-206,First Affiliated Hospital Zhejiang University,CN,Hangzhou,Dr. Bo Wu,Active,Academic
SP-207,Xiangya Hospital Central South University,CN,Changsha,Dr. Ling Zhou,Active,Academic
SP-208,First Hospital of China Medical University,CN,Shenyang,Dr. Tao Xu,Active,Academic
SP-209,Fudan University Shanghai Cancer Center,CN,Shanghai,Dr. Rui Tang,Active,Academic
SP-210,Peking University People's Hospital,CN,Beijing,Dr. Juan Ma,Active,Academic
SP-211,Hospital das Clínicas FMUSP,BR,São Paulo,Dr. Carlos Oliveira,Active,Academic
SP-212,Hospital Sírio-Libanês,BR,São Paulo,Dr. Fernanda Costa,Active,Community
SP-213,Instituto Nacional de Câncer,BR,Rio de Janeiro,Dr. Roberto Almeida,Active,Academic
SP-214,Hospital de Clínicas de Porto Alegre,BR,Porto Alegre,Dr. Ana Souza,Active,Academic
SP-215,Hospital Universitário Cassiano Antonio Moraes,BR,Vitória,Dr. Paulo Ferreira,Pending,Academic
SP-216,Hospital de Amor Barretos,BR,Barretos,Dr. Lucia Santos,Active,Academic
SP-217,Hospital Erasto Gaertner,BR,Curitiba,Dr. Marcelo Pereira,Active,Academic
SP-218,Santa Casa de Misericórdia de Porto Alegre,BR,Porto Alegre,Dr. Julia Lima,Active,Community
SP-219,Hospital Universitário Walter Cantídio,BR,Fortaleza,Dr. Antonio Carvalho,Active,Academic
SP-220,HU-UFPI,BR,Teresina,Dr. Claudia Rocha,Active,Community
SP-221,All India Institute of Medical Sciences Delhi,IN,New Delhi,Dr. Rajesh Sharma,Active,Academic
SP-222,Tata Memorial Hospital,IN,Mumbai,Dr. Priya Verma,Active,Academic
SP-223,Christian Medical College Vellore,IN,Vellore,Dr. Samuel George,Active,Academic
SP-224,Amrita Institute of Medical Sciences,IN,Kochi,Dr. Deepa Nair,Active,Academic
SP-225,AIIMS Bhubaneswar,IN,Bhubaneswar,Dr. Suresh Patel,Pending,Academic
SP-226,Postgraduate Institute of Medical Education Chandigarh,IN,Chandigarh,Dr. Anita Singh,Active,Academic
SP-227,Sri Ramachandra Institute of Higher Education,IN,Chennai,Dr. Vijay Kumar,Active,Academic
SP-228,Manipal Hospitals,IN,Bangalore,Dr. Meera Rao,Active,Community
SP-229,Kidwai Memorial Institute of Oncology,IN,Bangalore,Dr. Ashok Pillai,Active,Academic
SP-230,Regional Cancer Centre Thiruvananthapuram,IN,Thiruvananthapuram,Dr. Lakshmi Menon,Active,Academic
SP-231,Jawaharlal Nehru Medical College Aligarh,IN,Aligarh,Dr. Mohammad Khan,Active,Academic
SP-232,AIIMS Jodhpur,IN,Jodhpur,Dr. Rekha Gupta,Pending,Academic
SP-233,Fakultní nemocnice v Motole,CZ,Prague,Dr. Petr Novák,Active,Academic
SP-234,Fakultní nemocnice Brno,CZ,Brno,Dr. Jana Dvořáková,Active,Academic
SP-235,Fakultní nemocnice Ostrava,CZ,Ostrava,Dr. Miroslav Svoboda,Pending,Academic
SP-236,Semmelweis Egyetem Klinikai Központ,HU,Budapest,Dr. László Kovács,Active,Academic
SP-237,Debreceni Egyetem Klinikai Központ,HU,Debrecen,Dr. Erzsébet Szabó,Active,Academic
SP-238,Pécsi Tudományegyetem Klinikai Központ,HU,Pécs,Dr. Gábor Tóth,Active,Academic
SP-239,Institutul Clinic Fundeni,RO,Bucharest,Dr. Mihai Ionescu,Active,Academic
SP-240,Institutul Oncologic Cluj-Napoca,RO,Cluj-Napoca,Dr. Elena Popescu,Active,Academic
SP-241,Spitalul Clinic Judetean de Urgenta Timisoara,RO,Timisoara,Dr. Andrei Constantin,Pending,Academic
SP-242,Institutul Oncologic Iași,RO,Iași,Dr. Maria Dumitrescu,Active,Academic
SP-243,Hacettepe Üniversitesi Tıp Fakültesi Hastanesi,TR,Ankara,Dr. Mehmet Yılmaz,Active,Academic
SP-244,İstanbul Üniversitesi Cerrahpaşa Tıp Fakültesi,TR,Istanbul,Dr. Ayşe Kaya,Active,Academic
SP-245,Ege Üniversitesi Tıp Fakültesi Hastanesi,TR,Izmir,Dr. Ali Çelik,Active,Academic
SP-246,Akdeniz Üniversitesi Hastanesi,TR,Antalya,Dr. Fatma Arslan,Pending,Academic
SP-247,Laiko General Hospital,GR,Athens,Dr. Nikos Papadopoulos,Active,Academic
SP-248,Hippokration General Hospital,GR,Thessaloniki,Dr. Maria Georgiou,Active,Academic
SP-249,University General Hospital of Patras,GR,Patras,Dr. Dimitris Alexopoulos,Active,Academic
SP-250,Aretaieio University Hospital,GR,Athens,Dr. Sophia Stavros,Pending,Academic
SP-251,Centro Hospitalar e Universitário de Coimbra,PT,Coimbra,Dr. João Ferreira,Active,Academic
SP-252,Centro Hospitalar Universitário Lisboa Norte,PT,Lisbon,Dr. Ana Lopes,Active,Academic
SP-253,Instituto Português de Oncologia Porto,PT,Porto,Dr. Rui Baptista,Active,Academic
SP-254,St. James's Hospital,IE,Dublin,Dr. Niamh O'Brien,Active,Academic
SP-255,University Hospital Galway,IE,Galway,Dr. Seamus Burke,Active,Academic
SP-256,Mater Misericordiae University Hospital,IE,Dublin,Dr. Aisling Murphy,Pending,Academic
SP-257,Institut Jules Bordet,BE,Brussels,Dr. Thierry Delcourt,Active,Academic
SP-258,CHU de Liège,BE,Liège,Dr. Sophie Pirard,Active,Academic
SP-259,Universitair Ziekenhuis Gent,BE,Ghent,Dr. Peter De Smedt,Active,Academic
SP-260,Cliniques Universitaires Saint-Luc,BE,Brussels,Dr. Catherine Renard,Active,Academic
SP-261,Hospital General de México,MX,Mexico City,Dr. Jorge Ramírez,Active,Academic
SP-262,Instituto Nacional de Cancerología México,MX,Mexico City,Dr. Rosa Mendoza,Active,Academic
SP-263,Hospital Universitario UANL,MX,Monterrey,Dr. Víctor Torres,Active,Academic
SP-264,Hospital Civil de Guadalajara,MX,Guadalajara,Dr. Patricia Vega,Pending,Academic
SP-265,Centro Oncológico Estatal ISSEMYM,MX,Toluca,Dr. Arturo Morales,Active,Community
SP-266,Hospital Italiano de Buenos Aires,AR,Buenos Aires,Dr. Gabriel Pereyra,Active,Academic
SP-267,Centro de Oncología Alexander Fleming,AR,Buenos Aires,Dr. Valentina Russo,Active,Academic
SP-268,Hospital Nacional de Clínicas Córdoba,AR,Córdoba,Dr. Hernán Acosta,Active,Academic
SP-269,Hospital Privado Universitario de Córdoba,AR,Córdoba,Dr. Mariela Suárez,Pending,Community
SP-270,Fundación para la Lucha contra las Enfermedades Neurológicas,AR,Buenos Aires,Dr. Ricardo Blanco,Active,Academic
SP-271,N.N. Blokhin National Medical Research Center of Oncology,RU,Moscow,Dr. Sergei Volkov,Active,Academic
SP-272,Sechenov First Moscow State Medical University,RU,Moscow,Dr. Natalia Ivanova,Active,Academic
SP-273,St. Petersburg State Medical University,RU,St. Petersburg,Dr. Dmitri Sokolov,Active,Academic
SP-274,National Research Center for Hematology,RU,Moscow,Dr. Elena Kuznetsova,Active,Academic
SP-275,Kazan State Medical University,RU,Kazan,Dr. Marat Khusnutdinov,Pending,Academic
SP-276,Novosibirsk State Medical University,RU,Novosibirsk,Dr. Irina Popova,Active,Academic
SP-277,Ural State Medical University,RU,Yekaterinburg,Dr. Pavel Morozov,Active,Academic
SP-278,Southern Federal University Clinical Hospital,RU,Rostov-on-Don,Dr. Galina Fedorova,Active,Community
SP-279,Groote Schuur Hospital,ZA,Cape Town,Dr. Thabo Dlamini,Active,Academic
SP-280,Chris Hani Baragwanath Academic Hospital,ZA,Johannesburg,Dr. Nomsa Khumalo,Active,Academic
SP-281,Steve Biko Academic Hospital,ZA,Pretoria,Dr. Sipho Nkosi,Active,Academic
SP-282,Tygerberg Hospital,ZA,Cape Town,Dr. Liezel van der Merwe,Pending,Academic
SP-283,Cairo University Hospitals Kasr Al-Aini,EG,Cairo,Dr. Ahmed Hassan,Active,Academic
SP-284,Ain Shams University Hospitals,EG,Cairo,Dr. Mona Ibrahim,Active,Academic
SP-285,Alexandria University Hospitals,EG,Alexandria,Dr. Khaled Abdelrahman,Active,Academic
SP-286,King Faisal Specialist Hospital & Research Centre,SA,Riyadh,Dr. Faisal Al-Otaibi,Active,Academic
SP-287,King Abdullah Medical City,SA,Mecca,Dr. Noura Al-Harbi,Active,Community
SP-288,King Khalid University Hospital,SA,Riyadh,Dr. Abdullah Al-Zahrani,Active,Academic
SP-289,Prince Sultan Military Medical City,SA,Riyadh,Dr. Layla Al-Rasheed,Pending,Community
SP-290,King Saud University Medical City,SA,Riyadh,Dr. Omar Al-Ghamdi,Active,Academic
SP-291,National University Hospital,SG,Singapore,Dr. Wei Lin Tan,Active,Academic
SP-292,Singapore General Hospital,SG,Singapore,Dr. Mei Ling Ong,Active,Academic
SP-293,National Cancer Centre Singapore,SG,Singapore,Dr. Boon Cher Goh,Active,Academic
SP-294,National Taiwan University Hospital,TW,Taipei,Dr. Chin-Fu Hsiao,Active,Academic
SP-295,Taipei Veterans General Hospital,TW,Taipei,Dr. Ming-Shiang Wu,Active,Academic
SP-296,Chang Gung Memorial Hospital,TW,Taoyuan,Dr. Ann-Lii Cheng,Active,Academic
SP-297,China Medical University Hospital,TW,Taichung,Dr. Yi-Chen Yeh,Pending,Academic
SP-298,Auckland City Hospital,NZ,Auckland,Dr. Ian Walker,Active,Academic
SP-299,Wellington Regional Hospital,NZ,Wellington,Dr. Fiona Roberts,Active,Academic
SP-300,Christchurch Hospital,NZ,Christchurch,Dr. Paul Stewart,Active,Academic
